drug_name,n_cell_lines,spearman_rho,pval,data_source
PACLITAXEL,28,0.4631,0.013085,both
SORAFENIB,28,0.1916,0.328717,prism_only
ROMIDEPSIN,19,0.2211,0.36311,prism_only
ENTOSPLETINIB,18,0.1803,0.473943,prism_only
BORTEZOMIB,28,0.3738,0.050032,prism_only
FULVESTRANT,18,0.3247,0.188638,prism_only
GEMCITABINE,19,0.5158,0.023792,both
TW 37,7,0.0714,0.879048,prism_only
DINACICLIB,25,0.5077,0.009577,both
BMS-754807,27,0.5708,0.001875,both
NIRAPARIB,25,0.4131,0.040137,both
OXALIPLATIN,19,0.4947,0.031283,both
NILOTINIB,20,0.3986,0.08168,prism_only
AFURESERTIB,19,0.6737,0.001565,both
RUXOLITINIB,24,-0.0435,0.840099,prism_only
IBRUTINIB,23,0.2283,0.29484,prism_only
LENALIDOMIDE,20,0.1278,0.591246,prism_only
TALAZOPARIB,28,0.4548,0.015022,both
SELUMETINIB,25,0.5413,0.005205,both
BIBR-1532,20,0.1654,0.485838,prism_only
DOCETAXEL,28,0.4258,0.023861,both
TEMSIROLIMUS,27,-0.0305,0.879864,prism_only
PEVONEDISTAT,28,0.4247,0.024264,both
ALISERTIB,20,0.4797,0.032326,both
PICTILISIB,20,0.2241,0.342286,prism_only
DABRAFENIB,28,0.2002,0.30692,prism_only
BROMOSPORINE,16,0.1015,0.708254,prism_only
VORINOSTAT,28,0.0586,0.76721,prism_only
GSK2830371,18,-0.06,0.812906,prism_only
PALBOCICLIB,28,0.4768,0.010308,both
DACARBAZINE,23,-0.2651,0.221549,prism_only
TASELISIB,20,0.4797,0.032326,both
NAVITOCLAX,27,0.4744,0.012424,both
CYCLOPHOSPHAMIDE,9,0.1333,0.732368,prism_only
TOPOTECAN,19,0.7965,4.5e-05,both
IRINOTECAN,28,0.4937,0.007586,both
TEMOZOLOMIDE,15,0.0733,0.795067,prism_only
PFI-1,20,-0.0135,0.95484,prism_only
BMS-345541,19,-0.0807,0.74259,prism_only
ALPELISIB,26,0.4393,0.024738,both
MG-132,20,0.2647,0.259469,prism_only
EPIRUBICIN,10,0.3697,0.29305,prism_only
LESTAURTINIB,14,0.0813,0.782275,prism_only
CRIZOTINIB,28,0.6606,0.00013,both
SEPANTRONIUM BROMIDE,20,0.4752,0.034227,both
TANESPIMYCIN,28,0.3974,0.036266,both
IPATASERTIB,20,0.856,1e-06,both
NELARABINE,14,,,prism_only
LAPATINIB,28,0.4176,0.027017,both
AFATINIB,27,0.5678,0.002008,both
GEFITINIB,26,0.5881,0.001578,both
OLAPARIB,28,0.144,0.464894,prism_only
SERDEMETAN,11,0.0364,0.915468,prism_only
RUCAPARIB,27,-0.0147,0.941865,prism_only
VELIPARIB,28,0.0696,0.725081,prism_only
VISMODEGIB,28,-0.1972,0.314572,prism_only
ERLOTINIB,28,0.5332,0.003483,both
OSIMERTINIB,28,0.3487,0.06901,prism_only
AZD4547,16,0.4298,0.096564,prism_only
BI-2536,18,0.4469,0.06301,prism_only
TAMOXIFEN,18,-0.0989,0.69629,prism_only
DASATINIB,28,0.6021,0.000699,both
TRAMETINIB,28,0.5723,0.001462,both
BOSUTINIB,20,0.5353,0.014997,both
METHOTREXATE,26,0.4222,0.031661,both
AZD7762,20,0.6962,0.00065,both
SAVOLITINIB,28,0.2138,0.274716,prism_only
VENETOCLAX,28,-0.1291,0.512715,prism_only
MITOXANTRONE,17,0.5245,0.030654,both
MOTESANIB,26,-0.1638,0.423996,prism_only
CISPLATIN,19,-0.0123,0.960204,prism_only
RIBOCICLIB,27,0.1099,0.585253,prism_only
ENTINOSTAT,20,-0.0602,0.801113,prism_only
AZD5438,19,0.2368,0.328931,prism_only
TENIPOSIDE,25,0.6923,0.000126,both
CYTARABINE,17,0.1864,0.473762,prism_only
MK-2206,19,0.4614,0.046756,both
