SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiBRAF_V600E,axis_MSI_high,axis_KRASmut
SIDM00783,HCT-116,2.710655,-0.976711,SIDM00783,0,1,1
SIDM00789,HCT-15,2.769103,-0.942647,SIDM00789,0,1,1
SIDM00136,HT-29,3.039161,-0.785253,SIDM00136,1,0,0
SIDM00826,COLO-205,2.204207,-1.271876,SIDM00826,1,0,0
SIDM00841,SW620,4.826839,0.256629,SIDM00841,0,0,1
SIDM00118,HCC2998,1.225904,-1.842044,SIDM00118,0,0,0
SIDM00150,KM12,2.714077,-0.974717,SIDM00150,0,1,0
SIDM00694,HuTu-80,2.629616,-1.023942,SIDM00694,0,0,0
SIDM00541,HT55,3.564906,-0.478842,SIDM00541,0,0,0
SIDM00534,HT-115,3.934888,-0.263212,SIDM00534,0,0,0
SIDM00537,GP5d,3.919401,-0.272238,SIDM00537,0,1,1
SIDM00839,LoVo,2.588446,-1.047936,SIDM00839,0,1,1
SIDM00776,LS-123,7.044807,1.549291,SIDM00776,0,0,1
SIDM00660,LS-411N,3.651063,-0.428629,SIDM00660,1,1,0
SIDM00677,LS-513,1.741203,-1.541721,SIDM00677,0,0,1
SIDM00777,NCI-H508,1.346598,-1.771702,SIDM00777,0,0,0
SIDM00778,NCI-H747,4.976671,0.343954,SIDM00778,0,0,1
SIDM00779,NCI-H716,6.015067,0.949145,SIDM00779,0,0,0
SIDM00359,RCM-1,5.425751,0.605684,SIDM00359,0,0,1
SIDM01090,RKO,2.041622,-1.366633,SIDM01090,1,1,0
SIDM01096,SK-CO-1,2.686446,-0.990821,SIDM01096,0,0,1
SIDM00781,SNU-C2B,4.125028,-0.152395,SIDM00781,0,1,1
SIDM00835,SW1116,6.399137,1.172986,SIDM00835,0,0,1
SIDM00812,SW1417,6.338619,1.137715,SIDM00812,1,0,0
SIDM00834,SW1463,4.563716,0.103278,SIDM00834,0,0,1
SIDM00837,SW48,3.771439,-0.358472,SIDM00837,0,1,0
SIDM01168,SW626,5.290888,0.527083,SIDM01168,0,0,1
SIDM00833,SW837,4.067336,-0.186019,SIDM00833,0,0,1
SIDM00832,SW948,4.462151,0.044085,SIDM00832,0,0,1
SIDM00782,T84,6.17556,1.042682,SIDM00782,0,0,1
SIDM00282,CW-2,2.961436,-0.830552,SIDM00282,0,1,0
SIDM00842,COLO-320-HSR,3.577211,-0.471671,SIDM00842,0,0,0
SIDM00957,COLO-678,9.518231,2.990836,SIDM00957,0,0,1
SIDM01233,C2BBe1,5.537326,0.670711,SIDM01233,0,0,0
SIDM01197,SNU-C1,4.078739,-0.179373,SIDM01197,0,0,0
SIDM00681,LS-1034,4.098071,-0.168106,SIDM00681,0,0,0
SIDM00488,CaR-1,6.684248,1.339153,SIDM00488,0,0,0
SIDM00680,LS-180,4.394066,0.004404,SIDM00680,0,1,1
SIDM00487,CCK-81,2.536794,-1.07804,SIDM00487,0,1,0
SIDM00527,MDST8,3.926274,-0.268232,SIDM00527,1,0,0
SIDM00944,CL-11,6.881386,1.454047,SIDM00944,0,0,1
SIDM00217,SNU-1040,5.712946,0.773065,SIDM00217,0,1,0
SIDM00216,SNU-175,2.904674,-0.863634,SIDM00216,0,1,0
SIDM00215,SNU-283,4.325417,-0.035606,SIDM00215,0,0,0
SIDM00214,SNU-407,2.980941,-0.819185,SIDM00214,0,1,1
SIDM00194,SNU-61,5.595192,0.704436,SIDM00194,0,0,1
SIDM00193,SNU-81,3.298758,-0.633957,SIDM00193,0,0,0
SIDM00498,SNU-C5,3.12001,-0.738133,SIDM00498,1,1,0
SIDM00049,DiFi,4.271885,-0.066805,SIDM00049,0,0,0
