SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiBRAF_V600E,axis_MSI_high,axis_KRASmut
SIDM00783,HCT-116,2.297521,-1.057494,SIDM00783,0,1,1
SIDM00789,HCT-15,3.550361,-0.380024,SIDM00789,0,1,1
SIDM00136,HT-29,0.162085,-2.212226,SIDM00136,1,0,0
SIDM00826,COLO-205,-0.074041,-2.339911,SIDM00826,1,0,0
SIDM00841,SW620,5.134787,0.476752,SIDM00841,0,0,1
SIDM00118,HCC2998,4.611409,0.193736,SIDM00118,0,0,0
SIDM00150,KM12,3.022664,-0.665374,SIDM00150,0,1,0
SIDM00694,HuTu-80,2.969924,-0.693894,SIDM00694,0,0,0
SIDM00541,HT55,3.814585,-0.237145,SIDM00541,0,0,0
SIDM00534,HT-115,5.087527,0.451196,SIDM00534,0,0,0
SIDM00537,GP5d,5.801595,0.837326,SIDM00537,0,1,1
SIDM00839,LoVo,2.169869,-1.126521,SIDM00839,0,1,1
SIDM00776,LS-123,6.554526,1.244472,SIDM00776,0,0,1
SIDM00660,LS-411N,2.113392,-1.157061,SIDM00660,1,1,0
SIDM00677,LS-513,4.403442,0.081278,SIDM00677,0,0,1
SIDM00777,NCI-H508,3.035176,-0.658609,SIDM00777,0,0,0
SIDM00778,NCI-H747,6.941429,1.453689,SIDM00778,0,0,1
SIDM00779,NCI-H716,4.16634,-0.046934,SIDM00779,0,0,0
SIDM00359,RCM-1,4.809921,0.301081,SIDM00359,0,0,1
SIDM01090,RKO,1.440832,-1.520747,SIDM01090,1,1,0
SIDM01096,SK-CO-1,3.708916,-0.294285,SIDM01096,0,0,1
SIDM00781,SNU-C2B,7.738231,1.884558,SIDM00781,0,1,1
SIDM00835,SW1116,6.710626,1.328883,SIDM00835,0,0,1
SIDM00812,SW1417,1.971686,-1.233689,SIDM00812,1,0,0
SIDM00834,SW1463,5.377925,0.608228,SIDM00834,0,0,1
SIDM00837,SW48,6.009099,0.949534,SIDM00837,0,1,0
SIDM01168,SW626,6.967235,1.467644,SIDM01168,0,0,1
SIDM00833,SW837,6.476991,1.202545,SIDM00833,0,0,1
SIDM00832,SW948,4.194222,-0.031857,SIDM00832,0,0,1
SIDM00782,T84,5.44565,0.64485,SIDM00782,0,0,1
SIDM00282,CW-2,4.958633,0.381496,SIDM00282,0,1,0
SIDM00842,COLO-320-HSR,4.714493,0.249478,SIDM00842,0,0,0
SIDM00957,COLO-678,8.235975,2.153712,SIDM00957,0,0,1
SIDM01233,C2BBe1,6.268017,1.089543,SIDM01233,0,0,0
SIDM01197,SNU-C1,4.361476,0.058585,SIDM01197,0,0,0
SIDM00681,LS-1034,3.712658,-0.292262,SIDM00681,0,0,0
SIDM00488,CaR-1,3.95257,-0.16253,SIDM00488,0,0,0
SIDM00680,LS-180,5.714511,0.790236,SIDM00680,0,1,1
SIDM00487,CCK-81,5.658436,0.759913,SIDM00487,0,1,0
SIDM00527,MDST8,0.951531,-1.785335,SIDM00527,1,0,0
SIDM00944,CL-11,5.129098,0.473675,SIDM00944,0,0,1
SIDM00217,SNU-1040,5.174902,0.498444,SIDM00217,0,1,0
SIDM00216,SNU-175,5.207172,0.515893,SIDM00216,0,1,0
SIDM00215,SNU-283,5.385858,0.612517,SIDM00215,0,0,0
SIDM00214,SNU-407,4.736908,0.261599,SIDM00214,0,1,1
SIDM00193,SNU-81,5.072853,0.443261,SIDM00193,0,0,0
SIDM00498,SNU-C5,2.723132,-0.827346,SIDM00498,1,1,0
SIDM00049,DiFi,6.125179,1.012304,SIDM00049,0,0,0
