SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiBRAF_V600E,axis_MSI_high,axis_KRASmut
SIDM00783,HCT-116,2.306922,-0.090305,SIDM00783,0,1,1
SIDM00789,HCT-15,2.662842,0.094393,SIDM00789,0,1,1
SIDM00136,HT-29,3.493851,0.52563,SIDM00136,1,0,0
SIDM00826,COLO-205,3.059641,0.300304,SIDM00826,1,0,0
SIDM00841,SW620,1.934385,-0.283626,SIDM00841,0,0,1
SIDM00118,HCC2998,3.601283,0.58138,SIDM00118,0,0,0
SIDM00150,KM12,3.490126,0.523697,SIDM00150,0,1,0
SIDM00694,HuTu-80,0.652198,-0.948994,SIDM00694,0,0,0
SIDM00541,HT55,4.498723,1.04709,SIDM00541,0,0,0
SIDM00534,HT-115,3.895924,0.734279,SIDM00534,0,0,0
SIDM00537,GP5d,2.294332,-0.096839,SIDM00537,0,1,1
SIDM00839,LoVo,3.710149,0.637874,SIDM00839,0,1,1
SIDM00776,LS-123,5.478447,1.5555,SIDM00776,0,0,1
SIDM00660,LS-411N,4.078155,0.828844,SIDM00660,1,1,0
SIDM00677,LS-513,1.80155,-0.352559,SIDM00677,0,0,1
SIDM00777,NCI-H508,1.306759,-0.609321,SIDM00777,0,0,0
SIDM00778,NCI-H747,5.386813,1.507948,SIDM00778,0,0,1
SIDM00779,NCI-H716,3.168873,0.356989,SIDM00779,0,0,0
SIDM00359,RCM-1,3.659698,0.611693,SIDM00359,0,0,1
SIDM01090,RKO,2.114176,-0.190327,SIDM01090,1,1,0
SIDM01096,SK-CO-1,0.148281,-1.210492,SIDM01096,0,0,1
SIDM00781,SNU-C2B,5.013595,1.314273,SIDM00781,0,1,1
SIDM00835,SW1116,5.896549,1.772466,SIDM00835,0,0,1
SIDM00812,SW1417,5.172057,1.396504,SIDM00812,1,0,0
SIDM00834,SW1463,3.263516,0.406102,SIDM00834,0,0,1
SIDM00837,SW48,1.061781,-0.736448,SIDM00837,0,1,0
SIDM01168,SW626,4.489771,1.042444,SIDM01168,0,0,1
SIDM00833,SW837,3.93969,0.75699,SIDM00833,0,0,1
SIDM00832,SW948,1.398764,-0.561577,SIDM00832,0,0,1
SIDM00782,T84,3.31431,0.43246,SIDM00782,0,0,1
SIDM00282,CW-2,2.817503,0.174652,SIDM00282,0,1,0
SIDM00842,COLO-320-HSR,3.247889,0.397993,SIDM00842,0,0,0
SIDM00957,COLO-678,8.277466,3.007999,SIDM00957,0,0,1
SIDM01233,C2BBe1,5.898028,1.773233,SIDM01233,0,0,0
SIDM01197,SNU-C1,6.363424,2.014742,SIDM01197,0,0,0
SIDM00681,LS-1034,5.499565,1.566459,SIDM00681,0,0,0
SIDM00488,CaR-1,2.721881,0.12503,SIDM00488,0,0,0
SIDM00680,LS-180,2.234423,-0.127927,SIDM00680,0,1,1
SIDM00487,CCK-81,2.78825,0.159471,SIDM00487,0,1,0
SIDM00527,MDST8,1.815234,-0.345458,SIDM00527,1,0,0
SIDM00944,CL-11,4.844685,1.226621,SIDM00944,0,0,1
SIDM00217,SNU-1040,5.018711,1.316928,SIDM00217,0,1,0
SIDM00216,SNU-175,2.179678,-0.156336,SIDM00216,0,1,0
SIDM00215,SNU-283,1.631826,-0.440634,SIDM00215,0,0,0
SIDM00214,SNU-407,3.396662,0.475195,SIDM00214,0,1,1
SIDM00194,SNU-61,6.094055,1.874958,SIDM00194,0,0,1
SIDM00193,SNU-81,4.195045,0.889502,SIDM00193,0,0,0
SIDM00498,SNU-C5,2.565521,0.04389,SIDM00498,1,1,0
SIDM00049,DiFi,2.733062,0.130832,SIDM00049,0,0,0
