SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiBRAF_V600E,axis_MSI_high,axis_KRASmut
SIDM00783,HCT-116,1.495253,-1.333894,SIDM00783,0,1,1
SIDM00789,HCT-15,2.480374,-0.765166,SIDM00789,0,1,1
SIDM00136,HT-29,2.501321,-0.753073,SIDM00136,1,0,0
SIDM00826,COLO-205,2.849878,-0.551845,SIDM00826,1,0,0
SIDM00841,SW620,2.35551,-0.837252,SIDM00841,0,0,1
SIDM00118,HCC2998,2.982463,-0.475302,SIDM00118,0,0,0
SIDM00150,KM12,3.645405,-0.092573,SIDM00150,0,1,0
SIDM00694,HuTu-80,2.015734,-1.033411,SIDM00694,0,0,0
SIDM00541,HT55,1.756087,-1.18331,SIDM00541,0,0,0
SIDM00534,HT-115,3.77612,-0.017109,SIDM00534,0,0,0
SIDM00537,GP5d,2.044691,-1.016694,SIDM00537,0,1,1
SIDM00839,LoVo,1.924635,-1.086004,SIDM00839,0,1,1
SIDM00776,LS-123,5.384799,0.91161,SIDM00776,0,0,1
SIDM00660,LS-411N,2.736817,-0.617117,SIDM00660,1,1,0
SIDM00677,LS-513,1.200555,-1.504028,SIDM00677,0,0,1
SIDM00777,NCI-H508,1.522016,-1.318444,SIDM00777,0,0,0
SIDM00778,NCI-H747,4.761403,0.551712,SIDM00778,0,0,1
SIDM00779,NCI-H716,3.791584,-0.008182,SIDM00779,0,0,0
SIDM00359,RCM-1,4.441687,0.367135,SIDM00359,0,0,1
SIDM01090,RKO,2.52599,-0.738831,SIDM01090,1,1,0
SIDM01096,SK-CO-1,1.480293,-1.342531,SIDM01096,0,0,1
SIDM00781,SNU-C2B,5.91197,1.215955,SIDM00781,0,1,1
SIDM00835,SW1116,3.784972,-0.011999,SIDM00835,0,0,1
SIDM00812,SW1417,6.907341,1.790601,SIDM00812,1,0,0
SIDM00834,SW1463,2.031157,-1.024508,SIDM00834,0,0,1
SIDM00837,SW48,1.826943,-1.142404,SIDM00837,0,1,0
SIDM01168,SW626,4.424234,0.357059,SIDM01168,0,0,1
SIDM00833,SW837,2.909465,-0.517445,SIDM00833,0,0,1
SIDM00832,SW948,3.148365,-0.379523,SIDM00832,0,0,1
SIDM00782,T84,4.378532,0.330674,SIDM00782,0,0,1
SIDM00282,CW-2,2.502273,-0.752524,SIDM00282,0,1,0
SIDM00842,COLO-320-HSR,2.957257,-0.489853,SIDM00842,0,0,0
SIDM00957,COLO-678,7.785243,2.297429,SIDM00957,0,0,1
SIDM01233,C2BBe1,2.920794,-0.510904,SIDM01233,0,0,0
SIDM01197,SNU-C1,4.198321,0.226635,SIDM01197,0,0,0
SIDM00681,LS-1034,2.832843,-0.56168,SIDM00681,0,0,0
SIDM00488,CaR-1,6.501414,1.556252,SIDM00488,0,0,0
SIDM00680,LS-180,1.70706,-1.211614,SIDM00680,0,1,1
SIDM00487,CCK-81,1.116251,-1.552699,SIDM00487,0,1,0
SIDM00527,MDST8,2.451839,-0.78164,SIDM00527,1,0,0
SIDM00944,CL-11,5.051194,0.719014,SIDM00944,0,0,1
SIDM00217,SNU-1040,5.251038,0.834388,SIDM00217,0,1,0
SIDM00216,SNU-175,2.081604,-0.995384,SIDM00216,0,1,0
SIDM00215,SNU-283,3.369741,-0.251719,SIDM00215,0,0,0
SIDM00214,SNU-407,3.083652,-0.416883,SIDM00214,0,1,1
SIDM00194,SNU-61,5.017811,0.699742,SIDM00194,0,0,1
SIDM00193,SNU-81,4.771177,0.557355,SIDM00193,0,0,0
SIDM00498,SNU-C5,3.109139,-0.402169,SIDM00498,1,1,0
SIDM00049,DiFi,3.599227,-0.119232,SIDM00049,0,0,0
