SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiBRAF_V600E,axis_MSI_high,axis_KRASmut
SIDM00783,HCT-116,-3.627189,-0.098957,SIDM00783,0,1,1
SIDM00789,HCT-15,-3.753546,-0.161299,SIDM00789,0,1,1
SIDM00136,HT-29,-2.787403,0.315379,SIDM00136,1,0,0
SIDM00826,COLO-205,-4.041649,-0.303444,SIDM00826,1,0,0
SIDM00841,SW620,-4.268584,-0.41541,SIDM00841,0,0,1
SIDM00118,HCC2998,-3.672335,-0.121231,SIDM00118,0,0,0
SIDM00150,KM12,-3.180342,0.121509,SIDM00150,0,1,0
SIDM00694,HuTu-80,-5.979422,-1.259506,SIDM00694,0,0,0
SIDM00541,HT55,-2.703108,0.356968,SIDM00541,0,0,0
SIDM00534,HT-115,-1.322411,1.038179,SIDM00534,0,0,0
SIDM00537,GP5d,-4.973163,-0.763036,SIDM00537,0,1,1
SIDM00839,LoVo,-3.190831,0.116334,SIDM00839,0,1,1
SIDM00776,LS-123,-0.852596,1.269977,SIDM00776,0,0,1
SIDM00660,LS-411N,-1.755288,0.824605,SIDM00660,1,1,0
SIDM00677,LS-513,-4.529141,-0.543964,SIDM00677,0,0,1
SIDM00777,NCI-H508,-3.189963,0.116762,SIDM00777,0,0,0
SIDM00778,NCI-H747,-0.692939,1.348749,SIDM00778,0,0,1
SIDM00779,NCI-H716,-2.325779,0.543135,SIDM00779,0,0,0
SIDM00359,RCM-1,-2.287014,0.562261,SIDM00359,0,0,1
SIDM01090,RKO,-4.241241,-0.401919,SIDM01090,1,1,0
SIDM01096,SK-CO-1,-6.146257,-1.34182,SIDM01096,0,0,1
SIDM00781,SNU-C2B,-1.40742,0.996237,SIDM00781,0,1,1
SIDM00835,SW1116,-1.685415,0.859079,SIDM00835,0,0,1
SIDM00812,SW1417,0.14954,1.764413,SIDM00812,1,0,0
SIDM00834,SW1463,-4.166168,-0.364879,SIDM00834,0,0,1
SIDM00837,SW48,-5.704583,-1.123906,SIDM00837,0,1,0
SIDM01168,SW626,-1.973754,0.716818,SIDM01168,0,0,1
SIDM00833,SW837,-3.339743,0.042863,SIDM00833,0,0,1
SIDM00832,SW948,-4.011816,-0.288725,SIDM00832,0,0,1
SIDM00782,T84,-2.691856,0.362519,SIDM00782,0,0,1
SIDM00282,CW-2,-2.210168,0.600175,SIDM00282,0,1,0
SIDM00842,COLO-320-HSR,-2.523369,0.445648,SIDM00842,0,0,0
SIDM00957,COLO-678,1.217972,2.291558,SIDM00957,0,0,1
SIDM01233,C2BBe1,-1.568684,0.916672,SIDM01233,0,0,0
SIDM01197,SNU-C1,-0.919123,1.237154,SIDM01197,0,0,0
SIDM00681,LS-1034,-1.765202,0.819714,SIDM00681,0,0,0
SIDM00488,CaR-1,-4.508618,-0.533838,SIDM00488,0,0,0
SIDM00680,LS-180,-3.630851,-0.100764,SIDM00680,0,1,1
SIDM00487,CCK-81,-2.556771,0.429168,SIDM00487,0,1,0
SIDM00527,MDST8,-5.423686,-0.985316,SIDM00527,1,0,0
SIDM00944,CL-11,-3.779739,-0.174222,SIDM00944,0,0,1
SIDM00216,SNU-175,-4.235962,-0.399315,SIDM00216,0,1,0
SIDM00215,SNU-283,-1.613254,0.894682,SIDM00215,0,0,0
SIDM00214,SNU-407,-2.381254,0.515765,SIDM00214,0,1,1
SIDM00194,SNU-61,-0.529105,1.429582,SIDM00194,0,0,1
SIDM00193,SNU-81,2.215215,2.78358,SIDM00193,0,0,0
SIDM00498,SNU-C5,-4.056648,-0.310844,SIDM00498,1,1,0
SIDM00049,DiFi,-3.445752,-0.009439,SIDM00049,0,0,0
