SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiBRAF_V600E,axis_MSI_high,axis_KRASmut
SIDM00783,HCT-116,3.026576,-0.164101,SIDM00783,0,1,1
SIDM00789,HCT-15,3.959067,0.367605,SIDM00789,0,1,1
SIDM00136,HT-29,-0.267444,-2.042349,SIDM00136,1,0,0
SIDM00826,COLO-205,-0.974343,-2.445423,SIDM00826,1,0,0
SIDM00841,SW620,-0.080054,-1.9355,SIDM00841,0,0,1
SIDM00118,HCC2998,-0.150015,-1.975391,SIDM00118,0,0,0
SIDM00150,KM12,0.817069,-1.423961,SIDM00150,0,1,0
SIDM00694,HuTu-80,2.594753,-0.410326,SIDM00694,0,0,0
SIDM00541,HT55,0.4375,-1.640391,SIDM00541,0,0,0
SIDM00534,HT-115,3.554283,0.136797,SIDM00534,0,0,0
SIDM00537,GP5d,1.4882,-1.041282,SIDM00537,0,1,1
SIDM00839,LoVo,1.303461,-1.14662,SIDM00839,0,1,1
SIDM00776,LS-123,2.66629,-0.369536,SIDM00776,0,0,1
SIDM00660,LS-411N,1.263838,-1.169213,SIDM00660,1,1,0
SIDM00677,LS-513,-0.726031,-2.303835,SIDM00677,0,0,1
SIDM00777,NCI-H508,-0.328762,-2.077313,SIDM00777,0,0,0
SIDM00778,NCI-H747,0.63617,-1.527109,SIDM00778,0,0,1
SIDM00779,NCI-H716,2.736436,-0.329539,SIDM00779,0,0,0
SIDM00359,RCM-1,2.05849,-0.716103,SIDM00359,0,0,1
SIDM01090,RKO,3.079075,-0.134166,SIDM01090,1,1,0
SIDM01096,SK-CO-1,0.207346,-1.771625,SIDM01096,0,0,1
SIDM00781,SNU-C2B,2.101249,-0.691722,SIDM00781,0,1,1
SIDM00835,SW1116,2.395758,-0.523793,SIDM00835,0,0,1
SIDM00812,SW1417,1.963342,-0.770357,SIDM00812,1,0,0
SIDM00834,SW1463,2.075164,-0.706595,SIDM00834,0,0,1
SIDM00837,SW48,3.803253,0.27876,SIDM00837,0,1,0
SIDM01168,SW626,0.603287,-1.545859,SIDM01168,0,0,1
SIDM00833,SW837,2.072177,-0.708299,SIDM00833,0,0,1
SIDM00832,SW948,1.916433,-0.797104,SIDM00832,0,0,1
SIDM00782,T84,3.713869,0.227793,SIDM00782,0,0,1
SIDM00282,CW-2,2.873552,-0.251355,SIDM00282,0,1,0
SIDM00842,COLO-320-HSR,4.689154,0.7839,SIDM00842,0,0,0
SIDM00957,COLO-678,2.954366,-0.205275,SIDM00957,0,0,1
SIDM01233,C2BBe1,5.668113,1.342102,SIDM01233,0,0,0
SIDM01197,SNU-C1,1.215113,-1.196996,SIDM01197,0,0,0
SIDM00681,LS-1034,1.884092,-0.815545,SIDM00681,0,0,0
SIDM00488,CaR-1,3.500386,0.106066,SIDM00488,0,0,0
SIDM00680,LS-180,1.963947,-0.770012,SIDM00680,0,1,1
SIDM00487,CCK-81,2.570202,-0.424325,SIDM00487,0,1,0
SIDM00527,MDST8,-1.001589,-2.460959,SIDM00527,1,0,0
SIDM00944,CL-11,-0.823332,-2.359317,SIDM00944,0,0,1
SIDM00216,SNU-175,1.790324,-0.869011,SIDM00216,0,1,0
SIDM00215,SNU-283,1.575773,-0.991348,SIDM00215,0,0,0
SIDM00214,SNU-407,2.338072,-0.556686,SIDM00214,0,1,1
SIDM00194,SNU-61,3.157854,-0.089246,SIDM00194,0,0,1
SIDM00193,SNU-81,3.274367,-0.022811,SIDM00193,0,0,0
SIDM00498,SNU-C5,2.865634,-0.25587,SIDM00498,1,1,0
SIDM00049,DiFi,2.253417,-0.604956,SIDM00049,0,0,0
SIDM00217,SNU-1040,4.12655,0.110149,SIDM00217,0,1,0
