SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiBRAF_V600E,axis_MSI_high,axis_KRASmut
SIDM00783,HCT-116,-3.270858,-1.545821,SIDM00783,0,1,1
SIDM00789,HCT-15,0.352145,0.060141,SIDM00789,0,1,1
SIDM00136,HT-29,-4.911456,-2.273046,SIDM00136,1,0,0
SIDM00826,COLO-205,-5.568779,-2.564416,SIDM00826,1,0,0
SIDM00841,SW620,-2.938904,-1.398676,SIDM00841,0,0,1
SIDM00118,HCC2998,-5.119626,-2.365321,SIDM00118,0,0,0
SIDM00150,KM12,-2.623609,-1.258916,SIDM00150,0,1,0
SIDM00694,HuTu-80,-1.38386,-0.709375,SIDM00694,0,0,0
SIDM00541,HT55,-3.112631,-1.475684,SIDM00541,0,0,0
SIDM00534,HT-115,-1.177606,-0.617949,SIDM00534,0,0,0
SIDM00537,GP5d,-0.804513,-0.452569,SIDM00537,0,1,1
SIDM00839,LoVo,-3.375836,-1.592355,SIDM00839,0,1,1
SIDM00776,LS-123,-0.986226,-0.533116,SIDM00776,0,0,1
SIDM00660,LS-411N,-3.515372,-1.654206,SIDM00660,1,1,0
SIDM00677,LS-513,-5.071476,-2.343978,SIDM00677,0,0,1
SIDM00777,NCI-H508,-2.30825,-1.119127,SIDM00777,0,0,0
SIDM00778,NCI-H747,-3.846306,-1.800899,SIDM00778,0,0,1
SIDM00779,NCI-H716,-2.058839,-1.008571,SIDM00779,0,0,0
SIDM00359,RCM-1,-3.077977,-1.460323,SIDM00359,0,0,1
SIDM01090,RKO,-2.014202,-0.988785,SIDM01090,1,1,0
SIDM01096,SK-CO-1,-5.732942,-2.637185,SIDM01096,0,0,1
SIDM00781,SNU-C2B,0.091877,-0.055227,SIDM00781,0,1,1
SIDM00835,SW1116,-2.102014,-1.027709,SIDM00835,0,0,1
SIDM00812,SW1417,-2.338853,-1.132693,SIDM00812,1,0,0
SIDM00834,SW1463,-3.980517,-1.86039,SIDM00834,0,0,1
SIDM00837,SW48,-1.959893,-0.964712,SIDM00837,0,1,0
SIDM01168,SW626,-1.700135,-0.849569,SIDM01168,0,0,1
SIDM00833,SW837,-2.236223,-1.0872,SIDM00833,0,0,1
SIDM00832,SW948,-2.637443,-1.265048,SIDM00832,0,0,1
SIDM00782,T84,-0.854892,-0.4749,SIDM00782,0,0,1
SIDM00282,CW-2,0.115046,-0.044957,SIDM00282,0,1,0
SIDM00842,COLO-320-HSR,2.99624,1.232185,SIDM00842,0,0,0
SIDM00957,COLO-678,-0.763416,-0.434352,SIDM00957,0,0,1
SIDM01233,C2BBe1,-0.389978,-0.268818,SIDM01233,0,0,0
SIDM01197,SNU-C1,-2.635212,-1.264059,SIDM01197,0,0,0
SIDM00681,LS-1034,-2.297657,-1.114432,SIDM00681,0,0,0
SIDM00488,CaR-1,1.446136,0.545073,SIDM00488,0,0,0
SIDM00680,LS-180,-1.483133,-0.753379,SIDM00680,0,1,1
SIDM00487,CCK-81,-1.041333,-0.557543,SIDM00487,0,1,0
SIDM00527,MDST8,-5.026986,-2.324257,SIDM00527,1,0,0
SIDM00944,CL-11,-4.97347,-2.300535,SIDM00944,0,0,1
SIDM00217,SNU-1040,0.54109,0.143895,SIDM00217,0,1,0
SIDM00216,SNU-175,-0.954549,-0.519075,SIDM00216,0,1,0
SIDM00215,SNU-283,-0.083863,-0.133127,SIDM00215,0,0,0
SIDM00214,SNU-407,-1.326553,-0.683972,SIDM00214,0,1,1
SIDM00194,SNU-61,-1.550075,-0.783053,SIDM00194,0,0,1
SIDM00193,SNU-81,1.334664,0.495661,SIDM00193,0,0,0
SIDM00498,SNU-C5,-0.746566,-0.426882,SIDM00498,1,1,0
SIDM00049,DiFi,-2.467,-1.189496,SIDM00049,0,0,0
