case_id,slide_id,embedding_path,embedding_model,file_id
TCGA-BR-4267,TCGA-BR-4267-01Z-00-DX1.74687868-fdfb-4b11-8c72-a42703b5d06d,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4267-01Z-00-DX1.74687868-fdfb-4b11-8c72-a42703b5d06d_uni_embeddings.npy,uni,53507819-e29d-46fe-9fdc-fddc6d67a912
TCGA-BR-4371,TCGA-BR-4371-01Z-00-DX1.b45af289-5e56-40dd-80ba-7b8752d0344e,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4371-01Z-00-DX1.b45af289-5e56-40dd-80ba-7b8752d0344e_uni_embeddings.npy,uni,a21467ab-2cbc-49b5-9cb0-cc82ce7c728b
TCGA-BR-4357,TCGA-BR-4357-01Z-00-DX1.63cd361b-d8a7-4a99-aed7-4355b32397f6,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4357-01Z-00-DX1.63cd361b-d8a7-4a99-aed7-4355b32397f6_uni_embeddings.npy,uni,c31dd9b9-4b2d-4ffb-8b48-7b1d6ba2cffa
TCGA-BR-4294,TCGA-BR-4294-01Z-00-DX1.247c5447-23e3-4620-a981-19d5f572235a,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4294-01Z-00-DX1.247c5447-23e3-4620-a981-19d5f572235a_uni_embeddings.npy,uni,bb68e5ff-bcbd-42e3-b615-2b0e05c88ace
TCGA-BR-4279,TCGA-BR-4279-01Z-00-DX1.3d749e63-3614-4475-b840-5401640f13d8,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4279-01Z-00-DX1.3d749e63-3614-4475-b840-5401640f13d8_uni_embeddings.npy,uni,8eb97d84-4260-4c63-bc7f-aa3a15bd3d15
TCGA-BR-4255,TCGA-BR-4255-01Z-00-DX1.7c99233e-2bf3-4130-9852-7e7b34784366,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4255-01Z-00-DX1.7c99233e-2bf3-4130-9852-7e7b34784366_uni_embeddings.npy,uni,19bda795-be41-4103-b892-344b67849e0e
TCGA-BR-4201,TCGA-BR-4201-01Z-00-DX1.7e3cbcf2-eb0e-4582-b5e1-f31c8a9ee5b7,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4201-01Z-00-DX1.7e3cbcf2-eb0e-4582-b5e1-f31c8a9ee5b7_uni_embeddings.npy,uni,a38d0678-f332-4f34-bfef-72617784c7ed
TCGA-BR-4367,TCGA-BR-4367-01Z-00-DX1.1f8d0290-2ea8-447c-a8a9-4d83be6f242f,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4367-01Z-00-DX1.1f8d0290-2ea8-447c-a8a9-4d83be6f242f_uni_embeddings.npy,uni,a57a2881-1f6f-4dd4-bb52-186da794bbe6
TCGA-BR-4362,TCGA-BR-4362-01Z-00-DX1.f12e9fd5-4d05-408b-8462-a2cc9a75edae,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4362-01Z-00-DX1.f12e9fd5-4d05-408b-8462-a2cc9a75edae_uni_embeddings.npy,uni,8d1f0721-9810-48f6-9e57-373df93f31be
TCGA-BR-4370,TCGA-BR-4370-01Z-00-DX1.a221ca0e-5055-41c3-97a5-d8b9ff847e45,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4370-01Z-00-DX1.a221ca0e-5055-41c3-97a5-d8b9ff847e45_uni_embeddings.npy,uni,e6aa69ed-ce5a-4614-890c-77ca37e41dda
TCGA-BR-4253,TCGA-BR-4253-01Z-00-DX1.1541e883-de6a-4cd3-a6f5-6866fd5f3439,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4253-01Z-00-DX1.1541e883-de6a-4cd3-a6f5-6866fd5f3439_uni_embeddings.npy,uni,e4e08050-868e-40a6-a197-19b274bcb7c1
TCGA-BR-4257,TCGA-BR-4257-01Z-00-DX1.fd97fe9a-2e87-455d-9555-38b6621433d1,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4257-01Z-00-DX1.fd97fe9a-2e87-455d-9555-38b6621433d1_uni_embeddings.npy,uni,4223bd71-e3b1-4b59-a235-4ff0cc614b62
TCGA-BR-4256,TCGA-BR-4256-01Z-00-DX1.682c72f4-e392-4941-bf24-63dd7a4afecc,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4256-01Z-00-DX1.682c72f4-e392-4941-bf24-63dd7a4afecc_uni_embeddings.npy,uni,3e872593-f884-46e1-8148-f7b80bbb09b9
TCGA-BR-4184,TCGA-BR-4184-01Z-00-DX1.aa0818ba-92ea-4337-b9d3-c891161f5f9a,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4184-01Z-00-DX1.aa0818ba-92ea-4337-b9d3-c891161f5f9a_uni_embeddings.npy,uni,275f49a4-0aea-4986-b1e1-735935c44614
TCGA-BR-4366,TCGA-BR-4366-01Z-00-DX1.1b5b7fce-bfbb-461d-9381-30eb37698b9e,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4366-01Z-00-DX1.1b5b7fce-bfbb-461d-9381-30eb37698b9e_uni_embeddings.npy,uni,deccdef7-8e74-4e4e-bd31-d10266700dc5
TCGA-BR-4187,TCGA-BR-4187-01Z-00-DX1.5358ef4f-c9af-40d4-b366-48876a8503cc,/workspace/data/cache/biop02/crosscancer/GASTRIC_STAD/uni_v1/TCGA-BR-4187-01Z-00-DX1.5358ef4f-c9af-40d4-b366-48876a8503cc_uni_embeddings.npy,uni,6c7fb46c-6310-46ef-a6d1-44bdec9b43a1
