case_id,slide_id,embedding_path,embedding_model,file_id
TCGA-DQ-5630,TCGA-DQ-5630-01Z-00-DX1.07FE0581-2412-43DA-96A9-0DA192DAED3D,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-DQ-5630-01Z-00-DX1.07FE0581-2412-43DA-96A9-0DA192DAED3D_uni_embeddings.npy,uni,4ae10d07-1d8f-401e-bf99-e9dce26cab44
TCGA-CN-4726,TCGA-CN-4726-01Z-00-DX1.0ddf44ae-1cb7-41f1-8b59-a5a689f5a71c,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-CN-4726-01Z-00-DX1.0ddf44ae-1cb7-41f1-8b59-a5a689f5a71c_uni_embeddings.npy,uni,5bf71b80-1e58-4530-bd45-9caeb65d00cc
TCGA-HD-A6I0,TCGA-HD-A6I0-01Z-00-DX1.FB5715C4-D13D-44C6-BCCF-A4819F6C5323,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-HD-A6I0-01Z-00-DX1.FB5715C4-D13D-44C6-BCCF-A4819F6C5323_uni_embeddings.npy,uni,cdf0dffa-ec5f-438a-9747-4cb5e301c7ed
TCGA-DQ-5631,TCGA-DQ-5631-01Z-00-DX1.D9B0F531-4FE9-4D96-BE74-656B2F87F922,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-DQ-5631-01Z-00-DX1.D9B0F531-4FE9-4D96-BE74-656B2F87F922_uni_embeddings.npy,uni,85e9831b-ca8e-4dcd-a8e2-49b93d266c6a
TCGA-MT-A67F,TCGA-MT-A67F-01Z-00-DX1.2266D11A-C5E7-4D18-949E-409331EF905C,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-MT-A67F-01Z-00-DX1.2266D11A-C5E7-4D18-949E-409331EF905C_uni_embeddings.npy,uni,e0232400-fc1f-4563-b56e-42a2cd40a943
TCGA-MT-A51X,TCGA-MT-A51X-01Z-00-DX1.A7469A54-DDD5-4B3E-A437-F51FBDD8B158,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-MT-A51X-01Z-00-DX1.A7469A54-DDD5-4B3E-A437-F51FBDD8B158_uni_embeddings.npy,uni,a10853d7-8673-4697-baa9-c46c8a3d6dbf
TCGA-HD-A6HZ,TCGA-HD-A6HZ-01Z-00-DX1.DA05A854-E793-4CEA-A18D-0D5D2C0B4FE9,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-HD-A6HZ-01Z-00-DX1.DA05A854-E793-4CEA-A18D-0D5D2C0B4FE9_uni_embeddings.npy,uni,15d60bed-8747-4a52-898a-0be30b64176e
TCGA-CQ-A4CE,TCGA-CQ-A4CE-01Z-00-DX1.2E5A8284-C995-4B9F-9451-22DEC5EB2FB6,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-CQ-A4CE-01Z-00-DX1.2E5A8284-C995-4B9F-9451-22DEC5EB2FB6_uni_embeddings.npy,uni,10fa4388-9e48-4658-95d9-2f79574a2483
TCGA-HD-A633,TCGA-HD-A633-01Z-00-DX1.0E062B5C-BCD1-42FF-A48F-4EC231D705BF,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-HD-A633-01Z-00-DX1.0E062B5C-BCD1-42FF-A48F-4EC231D705BF_uni_embeddings.npy,uni,520b83f7-68fc-4105-b795-b190d5665468
TCGA-CN-6021,TCGA-CN-6021-01Z-00-DX1.613eb0f9-f1ca-49a9-9bb8-7fdbb29d7665,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-CN-6021-01Z-00-DX1.613eb0f9-f1ca-49a9-9bb8-7fdbb29d7665_uni_embeddings.npy,uni,f1a65e9e-7bc8-43a5-8e6e-475e6b430ce2
TCGA-HD-A634,TCGA-HD-A634-01Z-00-DX1.A9D1976D-E5F0-4A99-9D33-21F5C6932FEB,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-HD-A634-01Z-00-DX1.A9D1976D-E5F0-4A99-9D33-21F5C6932FEB_uni_embeddings.npy,uni,29d72cf9-1fad-4ff3-8f86-0e4d4c94c6e8
TCGA-MT-A7BN,TCGA-MT-A7BN-01Z-00-DX1.C1D38B2A-7F42-4469-82C0-85F808EDEA23,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-MT-A7BN-01Z-00-DX1.C1D38B2A-7F42-4469-82C0-85F808EDEA23_uni_embeddings.npy,uni,9f2aa1f7-3e83-4d99-9867-04132dd07c8a
TCGA-D6-6825,TCGA-D6-6825-01Z-00-DX1.eb4d4223-48fe-40e0-901f-6a4146db9a1f,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-D6-6825-01Z-00-DX1.eb4d4223-48fe-40e0-901f-6a4146db9a1f_uni_embeddings.npy,uni,9a86fd2b-cbfd-45c7-ac49-9bc9573ab1d7
TCGA-BB-4228,TCGA-BB-4228-01Z-00-DX1.170b1b9a-05ac-4115-965e-56c2af944f1f,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-BB-4228-01Z-00-DX1.170b1b9a-05ac-4115-965e-56c2af944f1f_uni_embeddings.npy,uni,6c6be158-b6a3-4c23-aa66-3f577d8f33b8
TCGA-CN-4725,TCGA-CN-4725-01Z-00-DX1.fe518acf-cceb-4be4-b01a-63d66248d6d4,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-CN-4725-01Z-00-DX1.fe518acf-cceb-4be4-b01a-63d66248d6d4_uni_embeddings.npy,uni,6cbf2302-1aa2-43fd-b1fd-fc5a34402dca
TCGA-MT-A67G,TCGA-MT-A67G-01Z-00-DX1.CC0030DC-7F1D-45D2-85D3-4D32BDA585B5,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-MT-A67G-01Z-00-DX1.CC0030DC-7F1D-45D2-85D3-4D32BDA585B5_uni_embeddings.npy,uni,6a021782-f702-46cb-a092-c8954e1f7726
TCGA-BA-6870,TCGA-BA-6870-01Z-00-DX1.261566ac-6b40-4a08-b383-ee61cbdc8672,/home/kkkim/project/BioProject02/experiments/crosscancer/HEADNECK_HNSC/full/embeddings/TCGA-BA-6870-01Z-00-DX1.261566ac-6b40-4a08-b383-ee61cbdc8672_uni_embeddings.npy,uni,ee70d775-64ee-400e-9d98-938504b29188
