SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiEGFR,axis_antiALK
SIDM00924,ChaGo-K-1,2.878743,0.884078,SIDM00924,0,0
SIDM00922,Calu-3,-1.763451,-2.281531,SIDM00922,0,0
SIDM00512,COR-L23,2.127257,0.371624,SIDM00512,0,0
SIDM00548,LK-2,2.062306,0.327332,SIDM00548,0,0
SIDM00734,NCI-H1437,2.94428,0.928769,SIDM00734,0,0
SIDM00747,NCI-H1623,-1.746032,-2.269653,SIDM00747,0,0
SIDM00746,NCI-H1648,-1.540761,-2.129674,SIDM00746,0,0
SIDM00745,NCI-H1650,1.798,0.147096,SIDM00745,1,0
SIDM00742,NCI-H1693,0.520163,-0.724287,SIDM00742,0,0
SIDM00737,NCI-H1770,2.821042,0.84473,SIDM00737,0,0
SIDM00769,NCI-H1838,2.446471,0.589302,SIDM00769,0,0
SIDM00709,NCI-H2085,2.331593,0.510965,SIDM00709,0,0
SIDM00716,NCI-H2170,-3.043466,-3.1544,SIDM00716,0,0
SIDM00729,NCI-H2228,2.359901,0.530268,SIDM00729,0,1
SIDM00727,NCI-H2342,1.843759,0.178301,SIDM00727,0,0
SIDM00726,NCI-H2347,4.069873,1.696334,SIDM00726,0,0
SIDM00724,NCI-H2405,6.318374,3.229634,SIDM00724,0,0
SIDM01122,NCI-H661,1.59715,0.010132,SIDM01122,0,0
SIDM00320,VMRC-LCD,2.481304,0.613056,SIDM00320,0,0
SIDM00715,NCI-H2030,0.9838,-0.408123,SIDM00715,0,0
SIDM00702,NCI-H2122,0.457411,-0.76708,SIDM00702,0,0
SIDM00739,NCI-H1734,3.99056,1.642249,SIDM00739,0,0
SIDM01124,NCI-H650,2.392672,0.552616,SIDM01124,0,0
SIDM00649,NCI-H1299,2.017087,0.296496,SIDM00649,0,0
SIDM00708,NCI-H2087,2.961433,0.940466,SIDM00708,0,0
SIDM00921,Calu-6,2.265253,0.465726,SIDM00921,0,0
SIDM00645,NCI-H1355,2.82274,0.845888,SIDM00645,0,0
SIDM00771,NCI-H1792,1.729079,0.100098,SIDM00771,0,0
SIDM00756,NCI-H2009,2.002324,0.286429,SIDM00756,0,0
SIDM00728,NCI-H2291,1.72675,0.098509,SIDM00728,0,0
SIDM01163,SW1573,4.022561,1.664071,SIDM01163,0,0
SIDM00990,BEN,3.722819,1.459671,SIDM00990,0,0
SIDM00939,CAL-12T,1.026648,-0.378905,SIDM00939,0,0
SIDM00486,EBC-1,2.695661,0.75923,SIDM00486,0,0
SIDM01044,EPLC-272H,0.229596,-0.922431,SIDM01044,0,0
SIDM00606,KNS-62,2.35975,0.530165,SIDM00606,0,0
SIDM00345,LCLC-103H,2.32406,0.505828,SIDM00345,0,0
SIDM00339,LXF-289,1.903123,0.218782,SIDM00339,0,0
SIDM00751,NCI-H1563,1.501893,-0.054825,SIDM00751,0,0
SIDM00237,PC-14,-3.530867,-3.48677,SIDM00237,1,0
SIDM00138,NCI-H23,2.135284,0.377098,SIDM00138,0,0
SIDM00144,NCI-H460,2.673805,0.744326,SIDM00144,0,0
SIDM00116,NCI-H522,1.63302,0.034593,SIDM00116,0,0
SIDM00903,A549,0.980552,-0.410338,SIDM00903,0,0
SIDM00117,NCI-H322M,-2.912927,-3.065384,SIDM00117,0,0
SIDM00117,NCI-H322M,-2.912927,-3.065384,SIDM00117,0,0
SIDM00119,EKVX,0.347996,-0.841692,SIDM00119,0,0
SIDM00133,HOP-62,3.657268,1.41497,SIDM00133,0,0
SIDM00134,HOP-92,3.251389,1.138192,SIDM00134,0,0
SIDM00494,ABC-1,3.11684,1.046441,SIDM00494,0,0
SIDM00513,COR-L105,-3.12962,-3.213151,SIDM00513,0,0
SIDM00297,LC-2-ad,1.615891,0.022913,SIDM00297,0,0
SIDM01130,NCI-H520,1.679008,0.065953,SIDM01130,0,0
SIDM01127,NCI-H596,2.124712,0.369888,SIDM01127,0,0
SIDM00925,NCI-H441,2.054621,0.322092,SIDM00925,0,0
SIDM00755,NCI-H1793,3.452984,1.275665,SIDM00755,0,0
SIDM00718,NCI-H358,-0.548867,-1.453281,SIDM00718,0,0
SIDM00651,NCI-H1155,1.555654,-0.018164,SIDM00651,0,0
SIDM00748,NCI-H1581,1.949639,0.250502,SIDM00748,0,0
SIDM00749,NCI-H1573,2.059557,0.325458,SIDM00749,0,0
SIDM00743,NCI-H1666,-0.503551,-1.42238,SIDM00743,0,0
SIDM00740,NCI-H1703,0.497171,-0.739966,SIDM00740,0,0
SIDM00738,NCI-H1755,1.574516,-0.005302,SIDM00738,0,0
SIDM00758,NCI-H1993,1.237528,-0.235102,SIDM00758,0,0
SIDM01108,SK-LU-1,4.526636,2.007811,SIDM01108,0,0
SIDM01103,SK-MES-1,0.324819,-0.857496,SIDM01103,0,0
SIDM01150,NCI-H838,1.456443,-0.085819,SIDM01150,0,0
SIDM00306,IA-LM,4.409214,1.927738,SIDM00306,0,0
SIDM00810,A427,2.927774,0.917513,SIDM00810,0,0
SIDM00744,NCI-H1651,2.771331,0.810831,SIDM00744,0,0
SIDM00355,RERF-LC-MS,3.03158,0.9883,SIDM00355,0,0
SIDM00759,NCI-H1975,-1.13203,-1.850953,SIDM00759,1,0
SIDM01116,NCI-H810,2.22591,0.438897,SIDM01116,0,0
SIDM00344,LCLC-97TM1,1.160413,-0.287688,SIDM00344,0,0
SIDM00114,NCI-H513,1.136819,-0.303777,SIDM00114,0,0
SIDM00598,HARA,0.477308,-0.753511,SIDM00598,0,0
SIDM01072,HCC-15,2.654064,0.730864,SIDM01072,0,0
SIDM01070,HCC-366,1.509656,-0.049532,SIDM01070,0,0
SIDM01069,HCC-44,1.428939,-0.104574,SIDM01069,0,0
SIDM01067,HCC-827,-3.934364,-3.761922,SIDM01067,1,0
SIDM00768,NCI-H1869,1.362469,-0.149901,SIDM00768,0,0
SIDM00763,NCI-H1915,1.491004,-0.06225,SIDM00763,0,0
SIDM00762,NCI-H1944,1.546245,-0.024581,SIDM00762,0,0
SIDM00753,NCI-H2023,1.813578,0.157719,SIDM00753,0,0
SIDM00137,NCI-H3122,1.910556,0.223851,SIDM00137,0,1
SIDM01125,NCI-H647,2.076811,0.337224,SIDM01125,0,0
SIDM00361,PC-3_[JPC-3],-2.486847,-2.774831,SIDM00361,0,0
SIDM00046,H3255,-3.247328,-3.293419,SIDM00046,1,0
SIDM01068,HCC-78,1.13192,-0.307118,SIDM01068,0,0
SIDM00300,LC-1-sq,1.055102,-0.359501,SIDM00300,0,0
SIDM00341,LOU-NH91,0.324134,-0.857964,SIDM00341,1,0
SIDM00658,NCI-H1435,1.531175,-0.034857,SIDM00658,0,0
SIDM00750,NCI-H1568,0.401117,-0.805468,SIDM00750,0,0
SIDM00754,NCI-H1781,-1.821887,-2.32138,SIDM00754,0,0
SIDM00703,NCI-H2110,1.543466,-0.026476,SIDM00703,0,0
SIDM00700,NCI-H2135,6.200773,3.14944,SIDM00700,0,0
SIDM00926,NCI-H2172,4.12871,1.736457,SIDM00926,0,0
SIDM00723,NCI-H2444,4.439498,1.948389,SIDM00723,0,0
SIDM00356,RERF-LC-KJ,2.043837,0.314738,SIDM00356,0,0
SIDM00354,RERF-LC-Sq1,-0.949764,-1.726662,SIDM00354,0,0
SIDM00508,COR-L32,1.21081,-0.253321,SIDM00508,0,0
SIDM00507,COR-L321,2.073152,0.334728,SIDM00507,0,0
SIDM00048,EMC-BAC-1,-1.534185,-2.12519,SIDM00048,0,0
