SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiEGFR,axis_antiALK
SIDM00924,ChaGo-K-1,3.078297,0.346033,SIDM00924,0,0
SIDM00922,Calu-3,2.972961,0.276136,SIDM00922,0,0
SIDM00512,COR-L23,2.400368,-0.103816,SIDM00512,0,0
SIDM00548,LK-2,1.11201,-0.958722,SIDM00548,0,0
SIDM00734,NCI-H1437,2.20107,-0.236062,SIDM00734,0,0
SIDM00747,NCI-H1623,5.301596,1.821332,SIDM00747,0,0
SIDM00746,NCI-H1648,2.284294,-0.180838,SIDM00746,0,0
SIDM00745,NCI-H1650,4.909036,1.560844,SIDM00745,1,0
SIDM00742,NCI-H1693,4.588866,1.348391,SIDM00742,0,0
SIDM00737,NCI-H1770,1.749247,-0.535875,SIDM00737,0,0
SIDM00769,NCI-H1838,4.669215,1.401708,SIDM00769,0,0
SIDM00709,NCI-H2085,2.96634,0.271742,SIDM00709,0,0
SIDM00716,NCI-H2170,1.471723,-0.72003,SIDM00716,0,0
SIDM00729,NCI-H2228,1.171946,-0.918951,SIDM00729,0,1
SIDM00727,NCI-H2342,3.687204,0.750081,SIDM00727,0,0
SIDM00726,NCI-H2347,6.284836,2.473774,SIDM00726,0,0
SIDM00724,NCI-H2405,6.428392,2.569032,SIDM00724,0,0
SIDM01122,NCI-H661,4.064203,1.000244,SIDM01122,0,0
SIDM00320,VMRC-LCD,1.827362,-0.484041,SIDM00320,0,0
SIDM00715,NCI-H2030,2.233445,-0.214579,SIDM00715,0,0
SIDM00702,NCI-H2122,1.207042,-0.895662,SIDM00702,0,0
SIDM00739,NCI-H1734,1.752875,-0.533468,SIDM00739,0,0
SIDM01124,NCI-H650,3.116963,0.37169,SIDM01124,0,0
SIDM00649,NCI-H1299,2.408799,-0.098221,SIDM00649,0,0
SIDM00708,NCI-H2087,3.451522,0.593692,SIDM00708,0,0
SIDM00921,Calu-6,3.365211,0.536419,SIDM00921,0,0
SIDM00645,NCI-H1355,3.302522,0.49482,SIDM00645,0,0
SIDM00771,NCI-H1792,1.580265,-0.648005,SIDM00771,0,0
SIDM00756,NCI-H2009,2.125645,-0.286111,SIDM00756,0,0
SIDM00728,NCI-H2291,4.013059,0.966307,SIDM00728,0,0
SIDM01163,SW1573,4.69358,1.417875,SIDM01163,0,0
SIDM00990,BEN,2.114494,-0.293511,SIDM00990,0,0
SIDM00939,CAL-12T,2.613919,0.037889,SIDM00939,0,0
SIDM00486,EBC-1,-2.855823,-3.591629,SIDM00486,0,0
SIDM01044,EPLC-272H,2.326456,-0.152861,SIDM01044,0,0
SIDM00606,KNS-62,3.939425,0.917446,SIDM00606,0,0
SIDM00345,LCLC-103H,2.873735,0.210293,SIDM00345,0,0
SIDM00339,LXF-289,1.604291,-0.632063,SIDM00339,0,0
SIDM00751,NCI-H1563,3.277154,0.477987,SIDM00751,0,0
SIDM00237,PC-14,1.96523,-0.392557,SIDM00237,1,0
SIDM00138,NCI-H23,2.443789,-0.075002,SIDM00138,0,0
SIDM00144,NCI-H460,1.389011,-0.774914,SIDM00144,0,0
SIDM00116,NCI-H522,4.045613,0.987909,SIDM00116,0,0
SIDM00903,A549,1.686823,-0.577297,SIDM00903,0,0
SIDM00117,NCI-H322M,3.559695,0.665471,SIDM00117,0,0
SIDM00117,NCI-H322M,3.559695,0.665471,SIDM00117,0,0
SIDM00119,EKVX,6.839838,2.842053,SIDM00119,0,0
SIDM00133,HOP-62,3.642028,0.720104,SIDM00133,0,0
SIDM00134,HOP-92,3.18048,0.413838,SIDM00134,0,0
SIDM00494,ABC-1,4.825354,1.505316,SIDM00494,0,0
SIDM00513,COR-L105,3.557925,0.664297,SIDM00513,0,0
SIDM00297,LC-2-ad,1.700236,-0.568397,SIDM00297,0,0
SIDM01130,NCI-H520,2.714463,0.104607,SIDM01130,0,0
SIDM01127,NCI-H596,3.810119,0.831643,SIDM01127,0,0
SIDM00925,NCI-H441,4.117515,1.03562,SIDM00925,0,0
SIDM00755,NCI-H1793,6.804677,2.818721,SIDM00755,0,0
SIDM00718,NCI-H358,2.436218,-0.080027,SIDM00718,0,0
SIDM00651,NCI-H1155,2.069139,-0.323607,SIDM00651,0,0
SIDM00748,NCI-H1581,3.008326,0.299603,SIDM00748,0,0
SIDM00749,NCI-H1573,4.14048,1.050859,SIDM00749,0,0
SIDM00743,NCI-H1666,4.053034,0.992833,SIDM00743,0,0
SIDM00740,NCI-H1703,2.523926,-0.021827,SIDM00740,0,0
SIDM00738,NCI-H1755,1.462928,-0.725866,SIDM00738,0,0
SIDM00758,NCI-H1993,-1.1056,-2.430246,SIDM00758,0,0
SIDM01108,SK-LU-1,3.201085,0.427511,SIDM01108,0,0
