SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiEGFR,axis_antiALK
SIDM00924,ChaGo-K-1,3.77773,0.526085,SIDM00924,0,0
SIDM00922,Calu-3,2.949563,-0.159426,SIDM00922,0,0
SIDM00512,COR-L23,3.794117,0.539649,SIDM00512,0,0
SIDM00548,LK-2,4.260984,0.926095,SIDM00548,0,0
SIDM00734,NCI-H1437,2.271589,-0.720614,SIDM00734,0,0
SIDM00747,NCI-H1623,1.494992,-1.363438,SIDM00747,0,0
SIDM00746,NCI-H1648,0.283375,-2.366347,SIDM00746,0,0
SIDM00745,NCI-H1650,2.803578,-0.280264,SIDM00745,1,0
SIDM00742,NCI-H1693,2.785947,-0.294857,SIDM00742,0,0
SIDM00737,NCI-H1770,3.181466,0.032531,SIDM00737,0,0
SIDM00769,NCI-H1838,3.052172,-0.074491,SIDM00769,0,0
SIDM00709,NCI-H2085,3.298336,0.12927,SIDM00709,0,0
SIDM00716,NCI-H2170,0.812171,-1.92864,SIDM00716,0,0
SIDM00729,NCI-H2228,4.021651,0.727989,SIDM00729,0,1
SIDM00727,NCI-H2342,4.047942,0.749752,SIDM00727,0,0
SIDM00726,NCI-H2347,5.799634,2.199704,SIDM00726,0,0
SIDM00724,NCI-H2405,4.78697,1.361477,SIDM00724,0,0
SIDM01122,NCI-H661,4.291428,0.951296,SIDM01122,0,0
SIDM00320,VMRC-LCD,3.95763,0.674996,SIDM00320,0,0
SIDM00715,NCI-H2030,3.187489,0.037516,SIDM00715,0,0
SIDM00702,NCI-H2122,1.513941,-1.347753,SIDM00702,0,0
SIDM00739,NCI-H1734,3.300381,0.130962,SIDM00739,0,0
SIDM01124,NCI-H650,2.496927,-0.534092,SIDM01124,0,0
SIDM00649,NCI-H1299,3.454344,0.258404,SIDM00649,0,0
SIDM00708,NCI-H2087,4.749029,1.330072,SIDM00708,0,0
SIDM00921,Calu-6,4.44232,1.076195,SIDM00921,0,0
SIDM00645,NCI-H1355,4.88491,1.442547,SIDM00645,0,0
SIDM00771,NCI-H1792,3.079159,-0.052153,SIDM00771,0,0
SIDM00756,NCI-H2009,3.556171,0.342691,SIDM00756,0,0
SIDM00728,NCI-H2291,3.533,0.323511,SIDM00728,0,0
SIDM01163,SW1573,5.471111,1.927772,SIDM01163,0,0
