SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiEGFR,axis_antiALK
SIDM00924,ChaGo-K-1,2.041674,0.305801,SIDM00924,0,0
SIDM00922,Calu-3,0.105057,-1.211272,SIDM00922,0,0
SIDM00512,COR-L23,2.272615,0.486711,SIDM00512,0,0
SIDM00548,LK-2,1.440981,-0.164759,SIDM00548,0,0
SIDM00734,NCI-H1437,2.466979,0.638969,SIDM00734,0,0
SIDM00747,NCI-H1623,0.196595,-1.139565,SIDM00747,0,0
SIDM00746,NCI-H1648,-0.701592,-1.843171,SIDM00746,0,0
SIDM00745,NCI-H1650,0.407872,-0.974058,SIDM00745,1,0
SIDM00742,NCI-H1693,1.1113,-0.423019,SIDM00742,0,0
SIDM00737,NCI-H1770,2.395763,0.583181,SIDM00737,0,0
SIDM00769,NCI-H1838,3.462617,1.418915,SIDM00769,0,0
SIDM00709,NCI-H2085,1.773792,0.095952,SIDM00709,0,0
SIDM00716,NCI-H2170,-2.2718,-3.073213,SIDM00716,0,0
SIDM00729,NCI-H2228,3.072226,1.113097,SIDM00729,0,1
SIDM00727,NCI-H2342,2.64891,0.781487,SIDM00727,0,0
SIDM00726,NCI-H2347,3.553966,1.490474,SIDM00726,0,0
SIDM00724,NCI-H2405,3.333193,1.317529,SIDM00724,0,0
SIDM01122,NCI-H661,2.245872,0.465762,SIDM01122,0,0
SIDM00320,VMRC-LCD,2.788954,0.891192,SIDM00320,0,0
SIDM00715,NCI-H2030,0.675624,-0.764311,SIDM00715,0,0
SIDM00702,NCI-H2122,0.751953,-0.704518,SIDM00702,0,0
SIDM00739,NCI-H1734,1.873261,0.173873,SIDM00739,0,0
SIDM01124,NCI-H650,2.874454,0.95817,SIDM01124,0,0
SIDM00649,NCI-H1299,3.817239,1.696712,SIDM00649,0,0
SIDM00708,NCI-H2087,3.411423,1.378811,SIDM00708,0,0
SIDM00921,Calu-6,3.48159,1.433777,SIDM00921,0,0
SIDM00645,NCI-H1355,3.228194,1.235276,SIDM00645,0,0
SIDM00771,NCI-H1792,2.19357,0.424791,SIDM00771,0,0
SIDM00756,NCI-H2009,2.373773,0.565955,SIDM00756,0,0
SIDM00728,NCI-H2291,1.810679,0.124848,SIDM00728,0,0
SIDM01163,SW1573,4.609979,2.317715,SIDM01163,0,0
SIDM00990,BEN,1.198782,-0.354489,SIDM00990,0,0
SIDM00939,CAL-12T,0.268404,-1.083312,SIDM00939,0,0
SIDM00486,EBC-1,1.171696,-0.375707,SIDM00486,0,0
SIDM01044,EPLC-272H,0.749272,-0.706618,SIDM01044,0,0
SIDM00606,KNS-62,2.206487,0.43491,SIDM00606,0,0
SIDM00345,LCLC-103H,2.810847,0.908343,SIDM00345,0,0
SIDM00339,LXF-289,2.343446,0.542198,SIDM00339,0,0
SIDM00751,NCI-H1563,0.882932,-0.601914,SIDM00751,0,0
SIDM00237,PC-14,-3.304365,-3.882086,SIDM00237,1,0
SIDM00138,NCI-H23,2.942427,1.011417,SIDM00138,0,0
SIDM00144,NCI-H460,1.466657,-0.144646,SIDM00144,0,0
SIDM00116,NCI-H522,1.852038,0.157247,SIDM00116,0,0
SIDM00903,A549,1.212945,-0.343394,SIDM00903,0,0
SIDM00117,NCI-H322M,-1.380772,-2.375215,SIDM00117,0,0
SIDM00117,NCI-H322M,-1.380772,-2.375215,SIDM00117,0,0
SIDM00119,EKVX,1.164936,-0.381003,SIDM00119,0,0
SIDM00133,HOP-62,2.742171,0.854544,SIDM00133,0,0
SIDM00134,HOP-92,3.243186,1.247021,SIDM00134,0,0
SIDM00494,ABC-1,2.841505,0.932359,SIDM00494,0,0
SIDM00513,COR-L105,-1.382719,-2.37674,SIDM00513,0,0
SIDM00297,LC-2-ad,1.639399,-0.009326,SIDM00297,0,0
SIDM01130,NCI-H520,2.669163,0.797353,SIDM01130,0,0
SIDM01127,NCI-H596,3.506167,1.45303,SIDM01127,0,0
SIDM00925,NCI-H441,5.459908,2.983518,SIDM00925,0,0
SIDM00755,NCI-H1793,3.702049,1.606477,SIDM00755,0,0
SIDM00718,NCI-H358,0.645906,-0.787591,SIDM00718,0,0
SIDM00651,NCI-H1155,1.863287,0.166059,SIDM00651,0,0
SIDM00748,NCI-H1581,1.929898,0.21824,SIDM00748,0,0
SIDM00749,NCI-H1573,3.1689,1.188827,SIDM00749,0,0
SIDM00743,NCI-H1666,0.447561,-0.942967,SIDM00743,0,0
SIDM00740,NCI-H1703,1.834172,0.143252,SIDM00740,0,0
SIDM00738,NCI-H1755,1.890945,0.187726,SIDM00738,0,0
SIDM00758,NCI-H1993,2.091601,0.344912,SIDM00758,0,0
SIDM01108,SK-LU-1,4.560097,2.278639,SIDM01108,0,0
SIDM01103,SK-MES-1,1.042218,-0.477135,SIDM01103,0,0
SIDM01150,NCI-H838,1.636913,-0.011274,SIDM01150,0,0
SIDM00306,IA-LM,3.459478,1.416456,SIDM00306,0,0
SIDM00810,A427,2.724807,0.840942,SIDM00810,0,0
SIDM00744,NCI-H1651,1.780943,0.101554,SIDM00744,0,0
SIDM00355,RERF-LC-MS,1.983289,0.260064,SIDM00355,0,0
SIDM00759,NCI-H1975,-3.272124,-3.85683,SIDM00759,1,0
SIDM01116,NCI-H810,1.752932,0.079612,SIDM01116,0,0
SIDM00344,LCLC-97TM1,3.134062,1.161537,SIDM00344,0,0
SIDM00114,NCI-H513,0.759606,-0.698523,SIDM00114,0,0
SIDM00598,HARA,0.781305,-0.681525,SIDM00598,0,0
SIDM01072,HCC-15,2.527034,0.686014,SIDM01072,0,0
SIDM01070,HCC-366,0.532535,-0.876402,SIDM01070,0,0
